"COU","Country","CORP_TAX","Corporate income tax rate","TAR","Targeted","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2015","2015","PC","Percentage","0","units",,,15.825,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2000","2000","PC","Percentage","0","units",,,40,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2001","2001","PC","Percentage","0","units",,,37.5,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2002","2002","PC","Percentage","0","units",,,35,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2003","2003","PC","Percentage","0","units",,,35,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2004","2004","PC","Percentage","0","units",,,35,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2005","2005","PC","Percentage","0","units",,,32,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2006","2006","PC","Percentage","0","units",,,29,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2007","2007","PC","Percentage","0","units",,,25,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2008","2008","PC","Percentage","0","units",,,25,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2009","2009","PC","Percentage","0","units",,,25,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2010","2010","PC","Percentage","0","units",,,24,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2011","2011","PC","Percentage","0","units",,,20,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,20,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,26,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,26,,
"GRC","Greece","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,26,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2000","2000","PC","Percentage","0","units",,,18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2001","2001","PC","Percentage","0","units",,,18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2002","2002","PC","Percentage","0","units",,,18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2003","2003","PC","Percentage","0","units",,,18,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2004","2004","PC","Percentage","0","units",,,16,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2005","2005","PC","Percentage","0","units",,,16,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2006","2006","PC","Percentage","0","units",,,17.33,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2007","2007","PC","Percentage","0","units",,,20,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2008","2008","PC","Percentage","0","units",,,20,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2009","2009","PC","Percentage","0","units",,,20,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2010","2010","PC","Percentage","0","units",,,19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2011","2011","PC","Percentage","0","units",,,19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,19,,
"HUN","Hungary","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,19,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,20,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,20,,
